file,sourcePath,status,remoteProjectId,componentCount,connectionCount,missingConnectionTargets,componentAbilityCount,functionAbilityCount,functionNodeCount,error
proj_17307d02_packed.cmodel,/Users/wangfeifei/Downloads/proj_17307d02_packed.cmodel,success,proj_0569bd62,20,23,0,2,5,13,
new_proj_khwcs9e_packed (10).cmodel,/Users/wangfeifei/Downloads/new_proj_khwcs9e_packed (10).cmodel,success,proj_1c263c1e,12,0,0,0,2,13,
proj_8397240b_packed.cmodel,/Users/wangfeifei/Downloads/proj_8397240b_packed.cmodel,success,proj_9a36064b,20,23,0,2,5,13,
proj_1234_packed (3).cmodel,/Users/wangfeifei/Downloads/proj_1234_packed (3).cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
new_proj_khwcs9e_packed (2).cmodel,/Users/wangfeifei/Downloads/new_proj_khwcs9e_packed (2).cmodel,success,proj_941a22b8,12,0,0,0,2,13,
proj_1234_packed (11).cmodel,/Users/wangfeifei/Downloads/proj_1234_packed (11).cmodel,success,proj_a5c9b4d5,12,0,0,2,6,13,
proj_32164c60_packed.cmodel,/Users/wangfeifei/Downloads/proj_32164c60_packed.cmodel,success,proj_a5e40608,20,23,0,2,5,13,
new_proj_khwcs9e_packed (11).cmodel,/Users/wangfeifei/Downloads/new_proj_khwcs9e_packed (11).cmodel,success,proj_0875db20,12,0,0,0,2,13,
proj_12345_packed (6).cmodel,/Users/wangfeifei/Downloads/proj_12345_packed (6).cmodel,success,proj_a3108c8c,12,0,0,2,6,13,
AOBO.cmodel555.cmodel,/Users/wangfeifei/Downloads/AOBO.cmodel555.cmodel,success,proj_2b4abde3,44,49,0,2,5,13,
proj_4bd913ce_packed.cmodel,/Users/wangfeifei/Downloads/proj_4bd913ce_packed.cmodel,success,proj_e6b5b393,20,23,0,2,5,13,
new_proj_khwcs9e_packed.cmodel,/Users/wangfeifei/Downloads/new_proj_khwcs9e_packed.cmodel,success,proj_5c66833b,12,0,0,0,0,0,
proj_df3aa7ef_packed.cmodel,/Users/wangfeifei/Downloads/proj_df3aa7ef_packed.cmodel,success,proj_c26fbf5f,20,23,0,2,5,13,
proj_9bec45be_packed.cmodel,/Users/wangfeifei/Downloads/proj_9bec45be_packed.cmodel,success,proj_d4648d5a,20,23,0,2,5,13,
0323.cmodel,/Users/wangfeifei/Downloads/0323.cmodel,success,proj_f2896fda,20,23,0,2,5,13,
new_proj_cxe9emu_packed.cmodel,/Users/wangfeifei/Downloads/new_proj_cxe9emu_packed.cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
proj_89190f0a_packed (1).cmodel,/Users/wangfeifei/Downloads/proj_89190f0a_packed (1).cmodel,success,proj_373951e8,20,0,0,2,5,13,
proj_f957aada_packed1.cmodel,/Users/wangfeifei/Downloads/proj_f957aada_packed1.cmodel,success,proj_3da91a06,20,23,0,2,5,13,
new_proj_khwcs9e_packed (9).cmodel,/Users/wangfeifei/Downloads/new_proj_khwcs9e_packed (9).cmodel,success,proj_1643f37b,12,0,0,0,2,13,
proj_ee75f199_packed.cmodel,/Users/wangfeifei/Downloads/proj_ee75f199_packed.cmodel,success,proj_44fffbfa,20,23,0,2,5,13,
new_proj_khwcs9e_packed (8).cmodel,/Users/wangfeifei/Downloads/new_proj_khwcs9e_packed (8).cmodel,success,proj_696dab70,12,0,0,0,2,13,
proj_016267c0_packed.cmodel,/Users/wangfeifei/Downloads/proj_016267c0_packed.cmodel,success,proj_15b9d2f0,20,23,0,2,5,13,
proj_1234_packed (12).cmodel,/Users/wangfeifei/Downloads/proj_1234_packed (12).cmodel,success,proj_71a97901,12,4,0,2,6,13,
new_proj_khwcs9e_packed (1).cmodel,/Users/wangfeifei/Downloads/new_proj_khwcs9e_packed (1).cmodel,success,proj_4b583acb,12,0,0,2,5,13,
proj_f957aada_packed.cmodel,/Users/wangfeifei/Downloads/proj_f957aada_packed.cmodel,success,proj_7ed4e41a,20,23,0,2,5,13,
proj_8b800f1b_packed.cmodel,/Users/wangfeifei/.codex/worktrees/2655/amr_studio_v4/src/backend/saved_projects/proj_8b800f1b/proj_8b800f1b_packed.cmodel,success,proj_07978885,44,49,0,2,5,0,
proj_edc87f80_packed.cmodel,/Users/wangfeifei/.codex/worktrees/2655/amr_studio_v4/src/backend/saved_projects/proj_edc87f80/proj_edc87f80_packed.cmodel,success,proj_478156e2,29,33,0,2,5,13,
06_final_packed.cmodel,/Users/wangfeifei/.codex/worktrees/2655/amr_studio_v4/src/backend/saved_projects/new_proj_15kfuy5/debug_artifacts/compile_20260423_130016_115742/06_final_packed.cmodel,success,proj_c2ea8d7c,15,4,0,0,2,0,
06_final_packed.cmodel,/Users/wangfeifei/.codex/worktrees/2655/amr_studio_v4/src/backend/saved_projects/new_proj_15kfuy5/debug_artifacts/compile_20260423_130047_066281/06_final_packed.cmodel,success,proj_6c473c34,15,4,0,0,2,0,
ModelSetError.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/attach/a2bb66211e4900e42a336b860f35050a/2026-03/Rec/4b6d08a2ecfd117c/F/17/ModelSetError.cmodel,success,proj_d0cb8960,33,33,0,2,6,17,
ModelSet---ok(1).cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-05/ModelSet---ok(1).cmodel,success,proj_85050f26,41,42,0,2,5,13,
ModelSet0511.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-05/ModelSet0511.cmodel,success,proj_50266737,41,42,0,2,5,13,
磁吸车组态建模.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-05/磁吸车组态建模.cmodel,success,proj_38c117d0,23,24,0,2,5,13,
5.12_src.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-05/5.12_src.cmodel,success,proj_30fc75fe,35,40,2,1,5,15,
ModelSet-lift-ok.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-05/ModelSet-lift-ok.cmodel,success,proj_b9f7d1d0,41,42,0,2,5,13,
校验模型.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-05/校验模型.cmodel,success,proj_9bbc7fb3,22,24,0,2,5,13,
ModelSet---ok.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-05/ModelSet---ok.cmodel,success,proj_6ef49fdc,41,42,0,2,5,13,
两驱差速对脚.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-05/两驱差速对脚.cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
5_11_ModelSet.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-05/5_11_ModelSet.cmodel,success,proj_c4a3c4a7,41,42,0,2,5,13,
ModelSet1.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-05/ModelSet1.cmodel,success,proj_50384670,25,27,0,2,5,13,
ModelSet3.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2025-12/ModelSet3.cmodel,success,proj_8d7c0a2a,12,10,0,2,6,17,
Q7MZD.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/Q7MZD.cmodel,success,proj_272fe7a9,39,39,0,2,5,0,
7米四舵轮_260418.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/7米四舵轮_260418.cmodel,success,proj_35a0b82a,48,54,0,2,5,13,
proj_robot01_mocmdhzf_packed (4).cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/proj_robot01_mocmdhzf_packed (4).cmodel,success,proj_52c7da75,15,4,0,0,2,0,
AoBo1.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/AoBo1.cmodel,success,proj_f6585928,46,51,0,2,5,13,
zshy_AMR7.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/zshy_AMR7.cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
AoBo3.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/AoBo3.cmodel,success,proj_f446a19c,47,52,0,2,5,13,
BackupTemp.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/BackupTemp.cmodel,success,proj_bdc08b3d,48,54,0,2,5,13,
zshy_AMR20260430.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/zshy_AMR20260430.cmodel,success,proj_50f298eb,22,24,0,2,5,13,
zshy_AMR7(1).cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/zshy_AMR7(1).cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
proj_robot01_mocmdhzf_packed.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/proj_robot01_mocmdhzf_packed.cmodel,success,proj_7bcdf420,15,4,0,0,2,0,
proj_robot01_mocmdhzf_packed (3).cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/proj_robot01_mocmdhzf_packed (3).cmodel,success,proj_58b4e04a,15,4,0,0,2,0,
proj_robot01_mocmdhzf_packed (2)(1).cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/proj_robot01_mocmdhzf_packed (2)(1).cmodel,success,proj_6a9ca2b9,15,4,0,0,2,0,
新ModelSet.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/新ModelSet.cmodel,success,proj_9d5f243d,48,54,0,2,5,13,
zshy_AMR8.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/zshy_AMR8.cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
ModelSet.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-04/ModelSet.cmodel,success,proj_f97f954c,20,23,0,2,5,13,
ModelSet39.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/ModelSet39.cmodel,success,proj_2edbbaf6,20,23,0,2,5,13,
0311新ModelSet.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/0311新ModelSet.cmodel,success,proj_2860f72d,64,66,0,2,6,17,
ModelSet(4).cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/ModelSet(4).cmodel,success,proj_81cb2239,19,22,0,2,5,13,
20260316.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/20260316.cmodel,success,proj_ffb3b53d,16,14,0,2,6,17,
ModelSet_new_3_27.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/ModelSet_new_3_27.cmodel,success,proj_54fab3a2,20,23,0,2,5,13,
0308新款307302440.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/0308新款307302440.cmodel,success,proj_a0067ce5,43,45,0,2,6,17,
0309 第一款车模型ModelSet.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/0309 第一款车模型ModelSet.cmodel,success,proj_0d1cc4d4,58,61,0,2,5,13,
传感器校验中报错 ModelSet.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/传感器校验中报错 ModelSet.cmodel,success,proj_16e32544,63,65,0,2,6,17,
0311ModelSet.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/0311ModelSet.cmodel,success,proj_dd79992f,58,61,0,2,5,13,
清畅3T（1.2版本）.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/清畅3T（1.2版本）.cmodel,success,proj_076b039a,32,35,0,2,6,17,
最终ModelSet.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/最终ModelSet.cmodel,success,proj_482c6d87,59,62,0,2,5,13,
ModelSet(5).cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/ModelSet(5).cmodel,success,proj_becd64b6,17,17,0,2,5,13,
ModelSet(1).cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/ModelSet(1).cmodel,success,proj_2f473547,16,14,0,2,6,17,
ModelSet39(1).cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/ModelSet39(1).cmodel,success,proj_d39f8944,20,23,0,2,5,13,
ModelSet312.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/ModelSet312.cmodel,success,proj_d74220c4,20,23,0,2,5,13,
ModelSet.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-03/ModelSet.cmodel,success,proj_0153cf51,20,23,0,2,5,13,
20260612.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-06/20260612.cmodel,success,proj_b1112db8,29,33,0,2,5,13,
ModelSet.cmodel,/Users/wangfeifei/Library/Containers/com.tencent.xinWeChat/Data/Documents/xwechat_files/doghell_aeda/msg/file/2026-06/ModelSet.cmodel,success,proj_cecf0520,47,52,0,2,5,13,
清畅3T（1.2版本）.cmodel,/Users/wangfeifei/Library/CloudStorage/GoogleDrive-wangrunxi30@gmail.com/我的云端硬盘/清畅3T（1.2版本）.cmodel,success,proj_012045fc,33,36,0,2,6,0,
test111.cmodel,/Users/wangfeifei/Library/CloudStorage/GoogleDrive-wangrunxi30@gmail.com/我的云端硬盘/test111.cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
test111_repro.cmodel,/Users/wangfeifei/Library/CloudStorage/GoogleDrive-wangrunxi30@gmail.com/我的云端硬盘/test111_repro.cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
proj_1234_fixed.cmodel,/Users/wangfeifei/code/amr_studio_v4/proj_1234_fixed.cmodel,success,proj_998423b1,12,0,0,0,2,13,
proj_1234.cmodel,/Users/wangfeifei/code/amr_studio_v4/proj_1234.cmodel,success,proj_f85dbbdb,12,0,0,2,5,13,
proj_1234_packed (8)_调整.cmodel,/Users/wangfeifei/code/amr_studio_v4/proj_1234_packed (8)_调整.cmodel,success,proj_67f1d75b,11,0,0,2,6,13,
ModelSet39_reconstructed.cmodel,/Users/wangfeifei/code/amr_studio_v4/src/backend/skills/model_deserializer/files/ModelSet39_reconstructed.cmodel,success,proj_150bb98b,20,23,0,2,5,13,
new_proj_qupxzl9_packed.cmodel,/Users/wangfeifei/code/amr_studio_v4/src/backend/saved_projects/new_proj_qupxzl9/new_proj_qupxzl9_packed.cmodel,success,proj_ffa59d5f,0,0,0,0,3,13,
proj_6a41f0b3_packed.cmodel,/Users/wangfeifei/code/amr_studio_v4/src/backend/saved_projects/proj_6a41f0b3/proj_6a41f0b3_packed.cmodel,success,proj_51e51f61,29,33,0,2,5,13,
proj_7c5fa442_packed.cmodel,/Users/wangfeifei/code/amr_studio_v4/src/backend/saved_projects/proj_7c5fa442/proj_7c5fa442_packed.cmodel,success,proj_373bb399,12,0,0,0,2,13,
new_proj_0qp5k0e_packed.cmodel,/Users/wangfeifei/code/amr_studio_v4/src/backend/saved_projects/new_proj_0qp5k0e/new_proj_0qp5k0e_packed.cmodel,success,proj_9a1a1a43,1,0,0,0,3,13,
new_proj_lj1bxbw_packed.cmodel,/Users/wangfeifei/code/amr_studio_v4/src/backend/saved_projects/new_proj_lj1bxbw/new_proj_lj1bxbw_packed.cmodel,success,proj_6ad40f1a,1,0,0,0,3,13,
12345_audit.cmodel,/Users/wangfeifei/code/amr_studio_v4/tests/full_pipeline_audit/audit_results_12345/12345_audit.cmodel,success,proj_61f762ca,12,0,0,0,2,13,
12345_audit.cmodel,/Users/wangfeifei/code/amr_studio_v4/audits/FINAL_PIPELINE_VALIDATION_20260404/12345_audit.cmodel,success,proj_b9cb8b0e,12,0,0,0,2,13,
12345_audit.cmodel,/Users/wangfeifei/code/amr_studio_v4/audits/PIPELINE_VERIFICATION_REPORT_20260404/12345_audit.cmodel,success,proj_13362126,12,0,0,0,2,13,
空白.cmodel,/Users/wangfeifei/code/amr_studio_v4/specifications/ModuleLibrary/AmrModelTem/空白/空白.cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
MQ-Q3-600LE-D(T).cmodel,/Users/wangfeifei/code/amr_studio_v4/specifications/ModuleLibrary/AmrModelTem/MQ-Q3-600LE-D(T)/MQ-Q3-600LE-D(T).cmodel,success,proj_18261c0f,31,33,0,2,5,0,
MR-HL8-2000LH-C1(M).cmodel,/Users/wangfeifei/code/amr_studio_v4/specifications/ModuleLibrary/AmrModelTem/MR-HL8-2000LH-C1(M)/MR-HL8-2000LH-C1(M).cmodel,success,proj_0f905515,38,39,0,2,5,0,
同毅立式舵轮_对角双舵轮车.cmodel,/Users/wangfeifei/code/amr_studio_v4/specifications/ModuleLibrary/AmrModelTem/同毅立式舵轮_对角双舵轮车/同毅立式舵轮_对角双舵轮车.cmodel,success,proj_4be39ac9,18,19,0,2,5,0,
MQ-Q3-600LE-D(T)-ACTUATOR.cmodel,/Users/wangfeifei/code/amr_studio_v4/specifications/ModuleLibrary/AmrModelTem/MQ-Q3-600LE-D(T)-ACTUATOR/MQ-Q3-600LE-D(T)-ACTUATOR.cmodel,success,proj_41510032,41,42,0,2,5,0,
四舵轮.cmodel,/Users/wangfeifei/code/amr_studio_v4/specifications/ModuleLibrary/AmrModelTem/四舵轮/四舵轮.cmodel,success,proj_c5150b22,40,42,0,2,5,0,
0c070e22bf-sop.cmodel,/Users/wangfeifei/code/rcs-lite/offline/wiki-amrcontroller/assets/wiki.rms.hikrobotics.com/0c070e22bf-sop.cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
f18b72ece9-sop_.cmodel,/Users/wangfeifei/code/rcs-lite/offline/wiki-amrcontroller/assets/wiki.rms.hikrobotics.com/f18b72ece9-sop_.cmodel,error,,,,,,,,HTTPError('500 Server Error: Internal Server Error for url: http://116.62.39.177:8888/api/v1/models/upload')
